duplicate,kept_image,phash_distance
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_18341_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_18341.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_18438_attachments_211037_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_18438_attachments_211037.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_19266_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_19266_1.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_20457_attachments_230234_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_20457_attachments_230234_1_1.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_20585_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_20585.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_2251_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_2251.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_2328_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_2328.jpg,2
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_2387_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_2387.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_2617_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_2617.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_2619_1.jpg,dataset/1920/_2020601_https___1914_1918_europeana_eu_contributions_2619.jpg,2
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_2803_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_2803.jpg,2
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_4275_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_4275.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_463_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_463_1_1.jpg,2
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_4903_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_4903_1.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_4918_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_4918_1_2.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_6020_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_6020_1_1.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_604_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_604_1_2.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_6376_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_6376_1.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_6424_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_6424.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_6632_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_6632_1_2.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_6891_attachments_72600_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_6891_attachments_72600_1_1.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_6924_1.jpg,dataset/1900/_2020601_https___1914_1918_europeana_eu_contributions_6924.jpg,0
rejected/near_duplicate/_2020601_https___1914_1918_europeana_eu_contributions_9322_1.jpg,dataset/Modern/_2020601_https___1914_1918_europeana_eu_contributions_9322_1_2.jpg,0
rejected/near_duplicate/http:__www.loc.gov_item_2021669214_.jpg,dataset/1900/http:__www.loc.gov_item_2021669214_.jpg,0
rejected/near_duplicate/http:__www.loc.gov_item_2021669283_.jpg,dataset/WWII/http:__www.loc.gov_item_2021669273_.jpg,6
